Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
PTF10hv		0.052	II	11.22	0.04	1.60	0.07	9.17	0.04	-0.46	0.07	6.85	0.11
PTF10qts	0.091	Ic-BL	9.60	0.09	-0.91	0.30	8.83	0.09	-1.68	0.30	1.17	0.36
PTF10s		0.051	II	9.62	0.09	-0.09	0.15	7.98	0.09	-1.73	0.15	2.97	0.06
PTF11cgx	0.033	II	9.92	0.13	0.41	0.17	8.19	0.13	-1.32	0.17	3.48	0.02
PTF11cwi	0.056	II	10.56	0.04	0.51	0.08	8.54	0.04	-1.51	0.08	4.63	0.08
PTF11dad	0.072	II	9.97	0.08	0.33	0.15	7.93	0.08	-1.71	0.15	7.48	0.15
PTF11dqk	0.036	II	9.85	0.03	0.45	0.13	7.95	0.03	-1.45	0.13	3.93	0.02
PTF11dqr	0.082	II	9.34	0.10	-0.21	0.19	6.64	0.10	-2.91	0.19	10.25	0.98
PTF11dsb	0.190	II	9.70	0.08	0.23	0.16	7.28	0.08	-2.18	0.16	7.42	0.57
PTF11dtd	0.040	II	10.25	0.03	0.80	0.07	7.75	0.03	-1.70	0.07	9.01	0.06
PTF11ecp	0.034	II	10.00	0.03	0.60	0.07	8.05	0.03	-1.35	0.07	6.36	0.04
PTF11ekj	0.043	II	9.92	0.12	-0.35	0.15	10.10	0.12	-0.18	0.15	0.43	0.08
PTF11emc	0.082	II	9.22	0.09	-0.38	0.18	7.68	0.09	-1.92	0.18	3.97	0.23
PTF11epi	0.032	II	11.00	0.03	0.10	0.07	8.48	0.03	-2.42	0.07	11.21	0.06
PTF11ftr	0.018	II	7.80	0.32	-0.84	0.36	7.31	0.32	-1.33	0.36	0.84	0.01
PTF11fuu	0.097	IIn	10.34	0.05	0.47	0.09	8.56	0.05	-1.30	0.09	4.02	0.08
PTF11fuv	0.030	II	11.15	0.03	1.20	0.07	8.76	0.03	-1.19	0.07	7.24	0.04
PTF11gdz	0.013	II	10.39	0.04	0.38	0.08	9.40	0.04	-0.61	0.08	1.29	0.01
PTF11hyg	0.030	Ic	10.84	0.04	1.02	0.07	8.32	0.04	-1.50	0.07	7.81	0.03
PTF11iqb	0.013	IIn	11.59	0.32	1.58	0.35	9.34	0.32	-0.68	0.35	5.93	0.03
PTF11ixk	0.021	Ic	10.26	0.04	0.60	0.07	8.19	0.04	-1.46	0.07	5.48	0.02
PTF11izq	0.062	Ib	9.23	0.09	-0.33	0.17	7.24	0.09	-2.31	0.17	4.66	0.18
PTF11jgp	0.070	II	9.91	0.04	0.54	0.10	7.95	0.04	-1.42	0.10	4.78	0.07
PTF11kjk	0.067	II	9.12	0.10	-0.17	0.20	7.44	0.10	-1.85	0.20	5.67	0.25
PTF11klg	0.027	Ic	10.62	0.19	0.44	0.22	8.56	0.19	-1.62	0.22	5.15	0.04
PTF11kqn	0.066	II	11.26	0.05	1.09	0.07	8.89	0.05	-1.29	0.07	8.06	0.08
PTF11ktr	0.106	II	10.45	0.04	0.80	0.07	8.03	0.04	-1.63	0.07	8.32	0.18
PTF11mhh	0.039	II	9.96	0.15	0.22	0.15	7.95	0.15	-1.79	0.15	4.45	0.07
PTF11mmk	0.049	II	9.55	0.11	-0.16	0.14	8.10	0.11	-1.60	0.14	3.75	0.07
PTF11mpv	0.043	II	9.26	0.09	-0.14	0.12	8.18	0.09	-1.22	0.12	2.58	0.04
PTF11pdj	0.024	II	10.85	0.03	-0.20	0.07	8.96	0.03	-2.09	0.07	9.74	0.07
