Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
SN2007kz	0.130	II	11.20	0.05	1.36	0.09	8.14	0.05	-1.70	0.09	16.25	0.21
SN2007ld	0.030	II	7.96	0.30	-1.35	0.34	6.54	0.30	-2.77	0.34	2.72	0.43
SN2007lj	0.040	II	8.06	0.24	-1.27	0.28	8.43	0.24	-0.90	0.28	0.51	0.90
SN2007lz	0.090	II	9.30	0.12	-0.39	0.20	7.18	0.12	-2.51	0.20	5.65	0.49
SN2007md	0.050	II	10.93	0.10	0.97	0.14	8.57	0.10	-1.40	0.14	9.00	0.04
SN2007ms	0.040	IIpec	8.50	0.22	-0.57	0.27	7.70	0.22	-1.37	0.27	1.70	0.09
SN2007nm	0.046	Ic	8.47	0.22	-1.72	0.35	8.87	0.22	-1.32	0.35	0.36	0.22
SN2007nr	0.140	IIP	9.46	0.07	0.00	0.18	7.67	0.07	-1.79	0.18	3.54	0.26
SN2007nw	0.060	IIP	10.26	0.05	0.42	0.08	8.19	0.05	-1.65	0.08	5.68	0.09
SN2007ny	0.140	IIP	9.11	0.18	-0.66	0.24	7.52	0.18	-2.25	0.24	6.39	3.82
SN2007qb	0.080	II	10.27	0.07	0.73	0.15	7.53	0.07	-2.01	0.15	10.93	0.18
SN2007qv	0.100	II	10.51	0.10	0.57	0.12	8.32	0.10	-1.63	0.12	6.88	0.17
SN2007qw	0.150	Ic-BL	9.40	0.05	0.13	0.13	8.31	0.05	-0.96	0.13	1.84	0.22
SN2007qx	0.060	Ib	10.03	0.11	0.34	0.15	7.90	0.11	-1.80	0.15	6.87	0.08
SN2007sd	0.090	IIP	8.95	0.11	-0.48	0.19	7.38	0.11	-2.06	0.19	4.73	0.61
SN2007sj	0.040	Ib/c	10.45	0.03	0.80	0.07	8.01	0.03	-1.64	0.07	7.09	0.03
SN2007sx	0.120	II	10.96	0.04	1.05	0.10	7.84	0.04	-2.07	0.10	16.58	0.29
SN2007sz	0.020	II	8.56	0.31	-0.98	0.31	7.21	0.31	-2.34	0.31	2.20	0.04
SN2007tn	0.050	II	10.27	0.16	0.36	0.16	8.18	0.16	-1.73	0.16	4.56	0.06
SN2008bj	0.019	II	8.54	0.28	-0.95	0.28	6.92	0.28	-2.57	0.28	3.24	0.04
SN2008fm	0.039	IIn	11.29	0.13	1.28	0.14	8.30	0.13	-1.71	0.14	17.13	0.10
SN2008fn	0.030	Ib/c	9.86	0.20	-0.56	0.30	8.33	0.20	-2.09	0.30	2.63	0.03
SN2008fo	0.030	Ic	9.50	0.04	-0.07	0.09	7.70	0.04	-1.87	0.09	4.20	0.02
SN2008fs	0.039	Ib/c	10.19	0.05	0.25	0.11	8.29	0.05	-1.65	0.11	4.15	0.04
SN2008fz	0.133	IIn	9.93	0.05	1.25	0.10	13.12	0.05	4.44	0.10	0.01	0.08
SN2008gd	0.059	II	9.89	0.09	0.47	0.14	7.42	0.09	-2.00	0.14	7.67	0.10
SN2008iu	0.130	Ic-BL	8.22	0.28	-0.72	0.23	8.26	0.28	-0.68	0.23	0.63	1.21
SN2008iy	0.041	IIn	10.20	0.03	-0.10	0.07	18.89	0.03	8.59	0.07	0.00	0.00
SN2008ja	0.069	IIn	8.38	0.20	-1.21	0.21	7.85	0.20	-1.74	0.21	1.35	0.37
SN2009W		0.017	IIP	8.92	0.32	-0.69	0.34	7.23	0.32	-2.39	0.34	3.06	0.12
SN2009bh	0.090	Ic	10.83	0.10	0.86	0.12	8.23	0.10	-1.74	0.12	8.95	0.11
SN2009bj	0.027	II	9.01	0.23	-1.16	0.46	8.45	0.23	-1.72	0.46	1.49	0.02
SN2009bk	0.039	II	9.60	0.03	0.33	0.09	7.69	0.03	-1.58	0.09	5.14	0.04
SN2009bl	0.040	II	9.55	0.04	0.18	0.08	7.84	0.04	-1.53	0.08	2.98	0.02
SN2009ct	0.060	II	10.47	0.06	0.69	0.09	8.15	0.06	-1.64	0.09	6.98	0.06
SN2009dh	0.060	IIP	7.99	0.19	-1.54	0.25	7.80	0.19	-1.73	0.25	0.61	0.33
SN2009di	0.130	Ic	8.57	0.24	-0.47	0.22	6.98	0.24	-2.07	0.22	3.54	1.26
SN2009dw	0.042	IIP	7.97	0.27	-1.45	0.23	6.35	0.27	-3.07	0.23	3.51	1.06
SN2009fe	0.047	II	10.80	0.03	-0.09	0.08	9.59	0.03	-1.30	0.08	1.82	0.02
SN2009jd	0.025	II	9.40	0.19	-0.08	0.20	7.16	0.19	-2.31	0.20	5.67	0.07
SN2009kf	0.182	IIP	9.66	0.09	0.14	0.19	7.98	0.09	-1.54	0.19	4.10	0.55
SN2009lx	0.027	IIP	10.45	0.03	0.51	0.07	8.37	0.03	-1.57	0.07	4.79	0.03
SN2009nn	0.046	IIn	9.76	0.05	0.21	0.08	7.79	0.05	-1.76	0.08	5.20	0.06
SN2009nu	0.040	II	9.24	0.22	-0.56	0.29	7.02	0.22	-2.77	0.29	5.84	0.28
SN2010K		0.020	II	8.36	0.47	-1.10	0.50	6.98	0.47	-2.48	0.50	2.42	0.14
SN2010Q		0.055	Ic	7.46	0.20	-1.18	0.22	6.80	0.20	-1.83	0.22	1.03	0.40
SN2010ah	0.050	Ic-BL	8.82	0.13	-0.85	0.20	7.67	0.13	-2.00	0.20	4.43	0.27
SN2010ay	0.067	Ic-BL	8.58	0.09	0.03	0.11	8.92	0.09	0.37	0.11	0.34	0.02
SN2010gq	0.018	II	10.50	0.03	0.50	0.07	8.63	0.03	-1.38	0.07	4.64	0.02
SN2010jc	0.024	IIP	10.75	0.03	0.70	0.07	7.92	0.03	-2.13	0.07	11.07	0.08
SN2010jy	0.042	IIn	9.11	0.12	-0.50	0.18	7.58	0.12	-2.04	0.18	2.73	0.11
SN2010mb	0.133	Ic	9.63	0.07	0.14	0.16	7.56	0.07	-1.93	0.16	8.76	0.32
SN2011ak	0.027	IIP	10.45	0.03	0.50	0.07	7.95	0.03	-2.00	0.07	7.73	0.05
SN2011an	0.016	IIn	9.61	0.04	-0.02	0.07	7.23	0.04	-2.39	0.07	7.18	0.04
SN2011bm	0.022	Ic	9.45	0.03	0.10	0.07	7.88	0.03	-1.47	0.07	2.67	0.01
SN2011bn	0.031	II	11.20	0.03	1.20	0.07	8.80	0.03	-1.20	0.07	8.83	0.06
SN2011bs	0.036	II	7.44	0.28	-2.12	0.26	8.43	0.28	-1.12	0.26	0.56	0.18
SN2011cq	0.017	IIpec	9.69	0.31	0.13	0.34	7.41	0.31	-2.15	0.34	5.51	0.03
SN2011cz	0.060	IIP	8.24	0.22	-1.24	0.25	7.32	0.22	-2.16	0.25	3.03	2.16
SN2011db	0.025	II	9.68	0.19	0.14	0.27	7.50	0.19	-2.04	0.27	5.19	0.03
SN2011en	0.020	IIP	8.70	0.46	-0.48	0.42	7.29	0.46	-1.89	0.42	2.46	0.05
SN2011eo	0.030	IIP	8.02	0.30	-1.57	0.33	7.80	0.30	-1.78	0.33	0.62	0.07
SN2011eu	0.110	IIn	9.54	0.15	-0.38	0.34	9.76	0.15	-0.17	0.34	1.39	0.98
SN2011ev	0.030	IIP	8.99	0.27	-0.23	0.33	7.08	0.27	-2.14	0.33	7.65	0.11
SN2011ew	0.070	IIP	10.19	0.04	-0.80	0.07	9.92	0.04	-1.07	0.07	0.98	0.78
SN2011fa	0.060	IIP	7.85	0.23	-1.61	0.25	7.69	0.23	-1.76	0.25	0.57	0.25
SN2011fz	0.016	Ib/c	10.55	0.03	0.60	0.07	8.00	0.03	-1.95	0.07	7.92	0.06
SN2011hn	0.014	IIP	10.02	0.31	0.15	0.33	8.20	0.31	-1.67	0.33	6.02	0.02
SN2011iw	0.023	IIn	7.92	0.22	-1.64	0.23	7.97	0.22	-1.59	0.23	0.48	0.05
SN2011jb	0.084	IIn	9.20	0.09	-0.46	0.18	8.48	0.09	-1.18	0.18	1.24	0.11
SN2011jj	0.045	IIP	10.99	0.04	1.10	0.07	8.05	0.04	-1.84	0.07	13.98	0.09
SN2011ke	0.143	Ic	8.91	0.15	-0.42	0.19	6.86	0.15	-2.47	0.19	6.77	1.61
SN2012D		0.026	IIP	9.60	0.04	0.01	0.07	8.12	0.04	-1.48	0.07	2.57	0.01
SN2012F		0.030	Ib	7.86	0.30	-1.63	0.36	7.74	0.30	-1.75	0.36	0.64	0.06
SN2012W		0.018	II	10.05	0.03	0.30	0.07	7.70	0.03	-2.05	0.07	7.34	0.03
SN2012al	0.040	IIn	9.77	0.17	0.01	0.26	7.62	0.17	-2.13	0.26	6.66	0.11
SN2012bg	0.033	IIP	8.29	0.16	-1.30	0.20	7.95	0.16	-1.64	0.20	0.89	0.06
SN2012br	0.019	IIP	7.40	0.34	-1.96	0.37	7.13	0.34	-2.23	0.37	0.72	0.05
SN2012ch	0.009	IIP	8.30	0.04	-1.20	0.07	7.72	0.04	-1.78	0.07	1.52	0.02
SN2012cr	0.010	II	9.95	0.03	0.00	0.07	8.45	0.03	-1.50	0.07	3.82	0.01
SN2012cz	0.036	IIn	10.35	0.03	0.30	0.07	8.66	0.03	-1.39	0.07	4.85	0.02
SN2012dp	0.036	Ib	10.59	0.04	0.82	0.12	8.00	0.04	-1.76	0.12	8.58	0.07
SN2012ed	0.015	II	7.32	0.17	-2.01	0.42	7.32	0.17	-2.01	0.42	0.80	0.12
SN2012ex	0.023	Ib	10.45	0.03	0.70	0.07	8.48	0.03	-1.27	0.07	4.07	0.01
SN2012fc	0.023	IIP	9.80	0.03	0.29	0.07	8.19	0.03	-1.32	0.07	3.82	0.02
SN2012hw	0.038	IIP	9.90	0.11	0.19	0.15	7.49	0.11	-2.22	0.15	6.59	0.05
SN2012il	0.175	Ic	9.03	0.16	-0.59	0.20	8.18	0.16	-1.44	0.20	1.93	0.63
SN2013aw	0.027	II	9.45	0.19	-0.30	0.24	7.80	0.19	-1.95	0.24	6.63	0.06
SN2013br	0.074	II	9.15	0.10	-0.47	0.19	8.14	0.10	-1.48	0.19	1.73	0.22
SN2013bw	0.038	IIP	10.60	0.03	1.10	0.07	8.15	0.03	-1.35	0.07	7.61	0.03
SN2013dn	0.056	IIn	10.70	0.03	1.20	0.07	8.59	0.03	-0.91	0.07	5.50	0.06
