Transient	Type	z	N_id	F090W	F115W	F150W	F200W	F277W	F356W	F444W	F090W_AB	F090W_ABerr	F115W_AB	F115W_ABerr	F150W_AB	F150W_ABerr	F200W_AB	F200W_ABerr	F277W_AB	F277W_ABerr	F356W_AB	F356W_ABerr	F444W_AB	F444W_ABerr	F090W_M	F115W_M	F150W_M	F200W_M	F277W_M	F356W_M	F444W_M	M_blue	M_IR	blue	ir	offset_arc	offset_kpc	r50_arc	r50_kpc	R_norm
AT2022aewg	II	1.42	109974.0	0.781	0.817	0.864	0.746	0.940	0.731	0.912	26.534	0.032	26.093	0.021	26.145	0.017	26.178	0.02	26.12	0.018	26.257	0.02	26.168	0.017	-17.605	-18.045	-17.993	-17.961	-18.019	-17.882	-17.97	-18.045	-18.019	0.817	0.94	0.11	0.95	0.165	1.429	0.665
AT2022aewh	II	1.415	205746.0	0.608	0.678	0.453	0.423	0.551	0.501	0.531	25.343	0.036	24.919	0.022	24.935	0.021	24.996	0.018	24.948	0.017	25.003	0.014	25.007	0.018	-18.788	-19.213	-19.197	-19.136	-19.184	-19.129	-19.124	-19.213	-19.184	0.678	0.551	0.495	4.287	0.288	2.494	1.719
AT2022aewi	Ibc	1.36	203217.0	0.38	0.266	0.374	0.423	0.490	0.162	0.475	26.179	0.07	25.762	0.048	25.647	0.058	25.655	0.031	25.586	0.047	25.621	0.048	25.663	0.032	-17.871	-18.289	-18.404	-18.395	-18.465	-18.43	-18.388	-18.289	-18.465	0.266	0.49	0.363	3.134	0.219	1.891	1.657
AT2022aewj	II	1.294	211770.0	0.143	0.173	0.123	0.124	0.111	0.106	0.139	22.708	0.005	22.188	0.005	21.848	0.003	21.662	0.003	21.281	0.003	21.174	0.003	21.159	0.002	-21.241	-21.76	-22.101	-22.286	-22.667	-22.774	-22.79	-21.76	-22.667	0.173	0.111	0.974	8.374	0.375	3.224	2.597
AT2022aewk	II	1.244	199527.0	0.863	0.782	0.694	0.673	0.647	0.62	0.603	22.967	0.002	22.503	0.002	22.117	0.002	21.906	0.002	21.583	0.002	21.392	0.001	21.369	0.001	-20.899	-21.364	-21.75	-21.961	-22.284	-22.475	-22.498	-21.364	-22.284	0.782	0.647	0.258	2.211	0.215	1.84	1.202
AT2022aewl	II	1.114	208546.0	0.026	0.0	0.000	0.000	0.008	0.02	0.03	22.26	0.007	21.915	0.004	21.667	0.004	21.532	0.004	21.356	0.002	21.309	0.003	21.471	0.002	-21.376	-21.721	-21.969	-22.104	-22.28	-22.327	-22.165	-21.721	-22.28	0.0	0.008	2.317	19.502	0.674	5.672	3.438
AT2022aewm	II	1.094	214806.0	0.566	0.62	0.587	0.532	0.479	0.476	0.446	21.903	0.006	21.465	0.006	21.083	0.004	20.809	0.003	20.493	0.003	20.404	0.003	20.557	0.001	-21.695	-22.133	-22.514	-22.788	-23.105	-23.194	-23.041	-22.133	-23.105	0.62	0.479	0.525	4.405	0.624	5.234	0.842
AT2022aewn	II	0.953	213336.0	0.384	0.343	0.306	0.356	0.343	0.339	0.307	19.92	0.001	19.475	0.001	19.14	0.001	18.919	0.001	19.013	0.001	19.537	0.002	19.701	0.0	-23.384	-23.83	-24.164	-24.386	-24.292	-23.767	-23.603	-23.384	-24.292	0.384	0.343	1.031	8.388	0.55	4.474	1.875
AT2022aewo	II	0.669	104035.0	0.543	0.579	0.581	0.624	0.739	0.715	0.658	22.771	0.005	22.648	0.004	22.621	0.003	22.553	0.003	22.544	0.002	22.775	0.004	23.127	0.003	-19.763	-19.886	-19.912	-19.981	-19.99	-19.759	-19.406	-19.763	-19.99	0.543	0.739	0.203	1.468	0.336	2.426	0.605
AT2022aewp	II	0.669	195998.0	0.62	0.599	0.599	0.569	0.498	0.473	0.420	23.168	0.008	22.717	0.006	22.563	0.005	22.435	0.005	22.408	0.003	22.414	0.003	22.417	0.002	-19.365	-19.817	-19.971	-20.098	-20.126	-20.12	-20.117	-19.365	-20.126	0.62	0.498	0.37	2.672	0.306	2.21	1.209
AT2022aewq	II	0.665	199156.0	0.12	0.089	0.123	0.090	0.111	0.104	0.102	20.833	0.001	20.586	0.002	20.446	0.002	20.267	0.001	20.177	0.002	20.375	0.002	20.734	0.001	-21.688	-21.935	-22.075	-22.253	-22.344	-22.146	-21.786	-21.688	-22.344	0.12	0.111	1.682	12.117	0.635	4.574	2.649
AT2022aewr	II	0.54	198750.0	0.024	0.04	0.022	0.045	0.070	0.049	0.059	20.968	0.003	20.661	0.002	20.385	0.002	20.185	0.002	20.074	0.002	20.4	0.002	20.668	0.001	-21.091	-21.397	-21.673	-21.873	-21.985	-21.658	-21.391	-21.091	-21.985	0.024	0.07	1.797	11.763	0.575	3.764	3.125
AT2022aewu	II	3.913	219050.0	0.764	0.669	0.717	0.806	0.878	0.819	0.90	24.739	0.032	24.581	0.025	24.402	0.018	23.758	0.011	23.501	0.008	23.417	0.007	23.455	0.008	-21.297	-21.455	-21.634	-22.278	-22.535	-22.619	-22.581	-22.535	-22.581	0.878	0.9	0.15	1.08	0.224	1.607	0.672
AT2022aewv	II	2.67	212759.0	0.663	0.691	0.546	0.30	0.28	0.31	0.25	27.731	0.068	27.468	0.046	27.292	0.044	26.831	0.036	27.384	0.038	27.239	0.033	27.314	0.039	-17.629	-17.892	-18.068	-18.529	-17.976	-18.121	-18.046	-18.529	-18.121	0.3	0.31	0.054	0.44	0.106	0.863	0.51
AT2023adss	Ibc	4.35	205579.0	0.721	0.736	0.969	0.892	1.000	0.922	0.955	26.746	0.04	26.577	0.032	26.507	0.03	26.128	0.021	25.488	0.009	25.737	0.009	25.953	0.018	-19.47	-19.639	-19.708	-20.087	-20.727	-20.479	-20.262	-20.727	-20.262	1.0	0.955	0.051	0.35	0.183	1.255	0.279
AT2023adst	II	4.117	197732.0	0.035	0.076	0.201	0.110	0.609	0.546	0.543	27.887	0.079	27.833	0.084	27.994	0.109	27.674	0.073	27.41	0.047	27.438	0.057	27.455	0.055	-18.236	-18.289	-18.128	-18.449	-18.712	-18.684	-18.667	-18.712	-18.667	0.609	0.543	0.04	0.283	0.176	1.236	0.229
AT2023adsu	Ibc	3.74	127158.0	0.0	0.0	0.737	0.0	0.650	0.038	0.132	33.503	42.459	30.971	5.234	31.709	10.644	29.383	1.057	29.643	0.673	29.02	0.421	29.406	334.306	-12.455	-14.987	-14.25	-16.575	-16.315	-16.939	-16.553	-16.315	-16.939	0.65	0.132	0.173	1.266	0.155	1.132	1.118
AT2023adsv	II	3.61	82314.0	0.005	0.199	0.380	0.202	0.251	0.46	0.613	28.063	0.084	27.95	0.066	27.549	0.048	27.12	0.034	26.927	0.031	27.129	0.033	27.102	0.023	-17.834	-17.947	-18.349	-18.778	-18.97	-18.768	-18.795	-18.97	-18.795	0.251	0.613	0.108	0.799	0.116	0.859	0.93
AT2023adsw	II	3.21	199353.0	0.0	0.0	0.000	0.000	0.038	0.193	0.027	27.985	0.227	28.055	0.164	27.855	0.13	27.289	0.06	27.123	0.055	27.216	0.053	27.201	0.051	-17.707	-17.637	-17.837	-18.403	-18.569	-18.476	-18.49	-18.403	-18.476	0.0	0.193	0.226	1.745	0.152	1.173	1.488
AT2023adsx	Ibc	3.09	211968.0	0.212	0.27	0.219	0.298	0.357	0.387	0.356	25.091	0.019	25.136	0.018	24.979	0.015	24.644	0.012	24.728	0.006	24.846	0.006	24.762	0.006	-20.533	-20.488	-20.645	-20.98	-20.896	-20.778	-20.862	-20.98	-20.778	0.298	0.387	0.439	3.432	0.194	1.516	2.264
AT2023adsz	II	2.86	199488.0	0.118	0.524	0.920	0.589	0.92	1.0	0.921	28.922	0.158	28.586	0.136	28.332	0.143	27.957	0.11	28.204	0.147	28.078	0.151	27.863	0.069	-16.563	-16.899	-17.153	-17.528	-17.281	-17.407	-17.622	-17.528	-17.407	0.589	1.0	0.019	0.152	0.191	1.527	0.1
AT2023adta	Ibc	2.845	198373.0	0.67	0.718	0.694	0.533	0.543	0.507	0.516	24.458	0.027	24.369	0.025	23.933	0.018	23.625	0.015	23.699	0.015	23.808	0.012	23.739	0.009	-21.018	-21.106	-21.543	-21.85	-21.776	-21.668	-21.736	-21.85	-21.668	0.533	0.507	0.244	1.95	0.314	2.513	0.776
AT2023adtb	II	2.78	213818.0	0.602	0.073	0.197	0.139	0.568	0.394	0.298	28.371	0.188	28.188	0.179	27.533	0.08	27.388	0.087	27.428	0.062	27.503	0.049	27.495	0.05	-17.063	-17.246	-17.901	-18.046	-18.006	-17.931	-17.939	-18.046	-17.931	0.139	0.394	0.169	1.357	0.175	1.41	0.962
AT2023adtc	Unclassified	2.77	91430.0	0.0	0.0	0.000	0.000	0.000	0.0	0.000	29.183	0.219	28.897	0.122	28.759	0.114	28.502	0.105	29.201	0.156	29.159	0.128	29.616	0.238	-16.244	-16.53	-16.669	-16.925	-16.226	-16.268	-15.811	-16.925	-16.268	0.0	0.0	0.237	1.914	0.105	0.847	2.26
AT2023adtd	Ibc	2.73	333638.0	0.035	0.555	0.784	0.654	0.7	0.78	0.27	28.785	0.0	29.515	0.0	28.278	0.0	28.568	0.0	29.779	0.0	30.023	0.0	30.009	0.0	-16.615	-15.885	-17.123	-16.833	-15.621	-15.378	-15.391	-16.833	-15.391	0.654	0.78	0.109	0.886			
AT2023adte	II	2.623	213100.0	0.121	0.186	0.323	0.343	0.367	0.488	0.581	24.956	0.013	24.899	0.017	24.358	0.01	24.205	0.01	24.288	0.01	24.251	0.005	24.211	0.005	-20.371	-20.429	-20.97	-21.122	-21.04	-21.077	-21.117	-21.122	-21.077	0.343	0.488	0.128	1.05	0.195	1.594	0.659
AT2023adtf	II	2.344	95007.0	0.0	0.01	0.183	0.034	0.004	0.264	0.136	29.109	0.499	28.305	0.209	27.991	0.156	27.951	0.166	27.947	0.107	28.035	0.144	28.029	0.088	-16.01	-16.814	-17.128	-17.168	-17.172	-17.084	-17.09	-17.128	-17.084	0.183	0.264	0.142	1.187	0.154	1.29	0.92
AT2023adtg	II	2.24	217127.0	0.534	0.606	0.430	0.531	0.699	0.693	0.806	26.021	0.037	25.645	0.021	25.095	0.015	25.094	0.022	25.083	0.017	25.082	0.016	25.061	0.014	-19.012	-19.389	-19.939	-19.94	-19.951	-19.952	-19.972	-19.939	-19.952	0.43	0.693	0.168	1.419	0.216	1.824	0.778
AT2023adth	II	2.06	207072.0	0.605	0.557	0.691	0.659	0.584	0.786	0.877	25.565	0.016	25.248	0.013	24.952	0.011	25.005	0.011	25.055	0.011	25.031	0.013	24.964	0.011	-19.309	-19.626	-19.923	-19.869	-19.819	-19.843	-19.91	-19.923	-19.843	0.691	0.786	0.157	1.343	0.18	1.539	0.873
AT2023adti	II	1.94	104790.0	0.826	0.094	0.498	0.305	0.236	0.132	0.135	28.376	0.1	27.647	0.05	27.308	0.044	27.162	0.032	27.235	0.022	27.274	0.025	27.389	0.024	-16.382	-17.111	-17.45	-17.597	-17.523	-17.485	-17.369	-17.45	-17.523	0.498	0.236	0.116	0.996	0.168	1.446	0.689
AT2023adtj	Ibc	1.932	218643.0	0.262	0.344	0.340	0.376	0.371	0.199	0.228	23.067	0.011	22.055	0.005	21.352	0.004	20.842	0.002	20.408	0.001	20.157	0.001	19.955	0.001	-21.684	-22.695	-23.399	-23.908	-24.343	-24.594	-24.796	-23.399	-24.343	0.34	0.371	0.991	8.528	0.502	4.322	1.973
AT2023adtk	Ibc	1.912	205311.0	0.733	0.668	0.679	0.630	0.622	0.523	0.573	23.474	0.01	22.793	0.004	22.476	0.003	22.204	0.003	22.083	0.002	21.928	0.002	21.844	0.001	-21.256	-21.938	-22.254	-22.527	-22.647	-22.803	-22.886	-22.254	-22.647	0.679	0.622	0.319	2.75	0.259	2.232	1.232
AT2023adtl	Ibc	1.86	214338.0	0.029	0.181	0.132	0.045	0.508	0.574	0.577	28.528	0.126	28.041	0.076	27.276	0.065	27.127	0.042	27.302	0.038	27.359	0.03	27.366	0.027	-16.148	-16.636	-17.401	-17.55	-17.375	-17.318	-17.311	-17.401	-17.375	0.132	0.508	0.057	0.497	0.138	1.192	0.417
AT2023adtn	II	1.748	214628.0	0.969	0.974	0.932	0.963	0.913	0.945	0.842	24.618	0.024	24.055	0.012	23.835	0.008	23.784	0.012	23.747	0.01	23.799	0.007	23.754	0.009	-19.937	-20.5	-20.72	-20.771	-20.809	-20.756	-20.801	-20.72	-20.809	0.932	0.913	0.303	2.631	0.304	2.636	0.998
AT2023adto	II	1.62	196414.0	0.039	0.112	0.187	0.160	0.305	0.391	0.337	24.661	0.012	24.127	0.01	24.043	0.007	23.925	0.008	23.784	0.006	23.737	0.004	23.667	0.004	-19.743	-20.277	-20.361	-20.479	-20.621	-20.667	-20.737	-20.361	-20.621	0.187	0.305	0.235	2.045	0.226	1.964	1.041
AT2023adtp	II	1.5	210861.0	0.0	0.0	0.000	0.000	0.001	0.015	0.010	24.107	0.009	23.026	0.004	22.568	0.003	22.212	0.002	21.845	0.001	21.681	0.001	21.546	0.001	-20.143	-21.224	-21.682	-22.038	-22.405	-22.569	-22.704	-21.682	-22.569	0.0	0.001	1.564	13.583	0.241	2.092	6.493
AT2023adtq	II	1.19	204024.0	0.0	0.061	0.043	0.060	0.405	0.372	0.264	25.667	0.048	25.191	0.032	25.02	0.031	24.909	0.039	24.846	0.05	24.818	0.036	24.985	0.013	-18.107	-18.583	-18.755	-18.865	-18.928	-18.956	-18.79	-18.583	-18.928	0.061	0.405	0.297	2.53	0.29	2.467	1.026
AT2023adtr	II	1.171	94908.0	0.316	0.456	0.435	0.577	0.509	0.773	0.746	25.16	0.01	24.835	0.01	24.62	0.006	24.525	0.008	24.438	0.005	24.364	0.005	24.483	0.004	-18.581	-18.906	-19.121	-19.215	-19.303	-19.377	-19.258	-18.906	-19.303	0.456	0.509	0.112	0.947	0.141	1.197	0.791
AT2023adts	Ibc	1.16	213475.0	0.305	0.646	0.899	0.597	1.0	0.882	1.0	27.725	0.053	27.301	0.034	27.095	0.028	27.097	0.031	26.958	0.018	26.927	0.018	27.166	0.024	-15.996	-16.42	-16.626	-16.624	-16.763	-16.794	-16.555	-16.42	-16.763	0.646	1.0	0.07	0.596	0.129	1.093	0.545
AT2023adtt	Ibc	1.139	191322	-	-	0.660	0.510	0.492	0.433	0.418	23.397	0.01	22.849	0.007	22.341	0.003	21.925	0.003	21.482	0.002	21.224	0.002	21.253	0.001	-20.285	-20.833	-21.342	-21.757	-22.201	-22.458	-22.43	-20.833	-22.201	0.66	0.492	0.616	5.2	0.251	2.121	2.452
AT2023adtu	II	1.01	-	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.347	0.0	31.224	0.0	31.5	0.0	30.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-12.082	-12.204	-11.928	-12.672	0.0	0.0	0.0	-12.082	0.0	0.0	0.0	0.426	3.513			
AT2023adtv	II	0.665	199156.0	0.063	0.059	0.078	0.075	0.108	0.064	0.080	20.833	0.001	20.586	0.002	20.446	0.002	20.267	0.001	20.177	0.002	20.375	0.002	20.734	0.001	-21.688	-21.935	-22.075	-22.253	-22.344	-22.146	-21.786	-21.688	-22.344	0.063	0.108	1.171	8.434	0.635	4.574	1.844
AT2023adtw	II	0.657	209108.0	0.641	0.679	0.628	0.558	0.532	0.574	0.524	22.363	0.004	21.807	0.002	21.41	0.002	21.027	0.002	20.717	0.002	20.901	0.002	21.22	0.001	-20.131	-20.687	-21.084	-21.467	-21.776	-21.592	-21.273	-20.131	-21.776	0.641	0.532	0.242	1.736	0.288	2.064	0.841
AT2023adtx	Unclassified	0.533	215360.0	0.561	0.543	0.463	0.443	0.482	0.466	0.470	21.409	0.004	20.944	0.002	20.529	0.002	20.227	0.001	20.062	0.002	20.435	0.003	20.722	0.001	-20.62	-21.085	-21.5	-21.802	-21.967	-21.595	-21.307	-20.62	-21.967	0.561	0.482	0.622	4.045	0.388	2.523	1.603
AT2023adty	Unclassified	0.21	212911.0	0.857	0.73	0.69	0.81	0.862	0.846	0.825	21.169	0.001	20.916	0.001	20.83	0.001	20.972	0.001	21.503	0.001	21.722	0.001	22.022	0.001	-18.769	-19.022	-19.108	-18.966	-18.435	-18.216	-17.916	-18.769	-18.435	0.857	0.862	0.371	1.313	2.06	7.292	0.18
AT2023vnw	Unclassified	4.37	-	0.32	0.667	0.24	0.330	0.510	0.520	0.350	28.807	0.0	28.631	0.0	28.401	0.0	28.036	0.0	26.112	0.0	26.143	0.0	26.624	0.0	-17.416	-17.592	-17.822	-18.187	-20.11	-20.08	-19.599	-20.11	-19.599	0.52	0.0	0.038	0.26			
AT2023vnx	Unclassified	4.89	176246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.575	0.017	25.403	0.017	25.347	0.012	25.074	0.009	24.265	0.004	24.42	0.003	24.668	0.005	-20.834	-21.007	-21.063	-21.335	-22.145	-21.989	-21.741	-22.145	-21.741	0.0	0.0	1.036	6.724	0.104	0.672	10.006
AT2023vny	Unclassified	2.31	185773.0	0.088	0.097	0.044	0.098	0.199	0.114	0.202	25.36	0.02	25.042	0.016	24.553	0.012	24.786	0.016	24.994	0.013	24.996	0.01	25.028	0.008	-19.732	-20.049	-20.539	-20.305	-20.098	-20.095	-20.064	-20.539	-20.095	0.044	0.114	0.631	5.303	0.156	1.306	4.06
AT2023vnz	Unclassified	0.6461	180833.0	0.104	0.099	0.083	0.076	0.086	0.087	0.079	21.171	0.005	20.588	0.002	20.128	0.001	19.713	0.001	19.402	0.001	19.614	0.001	19.986	0.0	-21.286	-21.869	-22.329	-22.744	-23.055	-22.843	-22.471	-21.286	-23.055	0.104	0.086	1.425	10.142	0.386	2.75	3.688
AT2023voa	Unclassified	3.95	60272.0	0.021	0.0	0.003	0.076	0.225	0.012	0.000	29.109	0.435	29.875	0.918	29.349	0.612	28.946	0.583	29.234	1.032	29.721	0.971	28.83	0.237	-16.943	-16.177	-16.703	-17.106	-16.818	-16.331	-17.223	-16.818	-17.223	0.225	0.0	0.063	0.447	0.138	0.983	0.455
AT2023vob	Unclassified	0.964	185044.0	0.223	0.233	0.238	0.269	0.238	0.268	0.263	21.833	0.001	21.193	0.001	20.78	0.001	20.403	0.001	20.096	0.0	20.076	0.0	20.329	0.0	-21.496	-22.136	-22.548	-22.926	-23.233	-23.253	-23.0	-21.496	-23.233	0.223	0.238	0.444	3.621	0.227	1.853	1.954
AT2023voc	Unclassified	1.52	171527	0.000	0.000	0.000	0.000	0.330	0.348	0.277	25.521	0.101	24.882	0.063	24.529	0.046	23.872	0.019	23.12	0.01	22.794	0.009	22.238	0.006	-18.756	-19.395	-19.748	-20.405	-21.157	-21.483	-22.039	-19.748	-21.157	0.0	0.33	1.336	11.602	0.732	6.362	1.824
AT2023adya	Unclassified	5.271	1026307.0	0.418	0.777	N/A	N/A	N/A	0.916	N/A	26.392	0.041	26.374	0.039	26.623	0.098	26.424	0.05	25.999	0.028	25.94	0.023	25.958	0.034	-20.141	-20.159	-19.909	-20.108	-20.534	-20.592	-20.574	-20.592	-20.574	0.777	0.916	0.012	0.077			
AT2023adyb	Unclassified	4.244	1064233.0	0.0	0.092	N/A	N/A	N/A	0.194	N/A	25.886	0.015	25.682	0.027	25.482	0.02	25.016	0.012	24.64	0.009	24.544	0.008	24.526	0.009	-20.288	-20.492	-20.691	-21.158	-21.533	-21.63	-21.647	-21.533	-21.647	0.092	0.194	0.328	2.272	0.181	1.256	1.809
AT2023adyc	Unclassified	3.36	1019260.0	0.127	0.493	N/A	N/A	N/A	0.376	N/A	26.038	0.051	26.16	0.052	25.755	0.057	25.063	0.011	25.387	0.034	25.801	0.032	25.661	0.03	-19.734	-19.612	-20.017	-20.709	-20.385	-19.971	-20.111	-20.709	-19.971	0.493	0.376	0.086	0.651	0.128	0.975	0.668
AT2023adyd	Unclassified	1.99	1024875.0	0.0	0.0	N/A	N/A	N/A	0.0	N/A	27.722	0.168	27.108	0.106	26.806	0.167	27.291	0.136	27.117	0.193	27.247	0.244	27.215	0.152	-17.086	-17.7	-18.002	-17.517	-17.69	-17.561	-17.593	-18.002	-17.69	0.0	0.0	0.425	3.651	0.191	1.639	2.228
AT2023adye	Unclassified	1.78	1031757.0	0.051	0.025	N/A	N/A	N/A	0.538	N/A	23.614	0.087	22.136	0.022	21.277	0.01	20.767	0.006	20.206	0.002	19.957	0.002	19.742	0.002	-20.977	-22.455	-23.314	-23.824	-24.385	-24.634	-24.849	-23.314	-24.385	0.025	0.538	0.262	2.272	0.346	2.995	0.759
AT2023adyf	Unclassified	1.54	1027394.0	0.258	0.194	N/A	N/A	N/A	0.493	N/A	24.987	0.056	24.377	0.03	24.452	0.043	24.425	0.038	24.31	0.019	24.326	0.022	24.298	0.023	-19.316	-19.926	-19.851	-19.878	-19.993	-19.977	-20.005	-19.851	-19.993	0.194	0.493	0.196	1.706	0.187	1.622	1.052
AT2023adyg	Unclassified	1.52	1026240.0	0.91	0.739	N/A	N/A	N/A	0.26	N/A	26.008	0.078	25.508	0.052	25.478	0.065	25.689	0.054	25.692	0.038	25.741	0.028	25.795	0.035	-18.269	-18.768	-18.799	-18.587	-18.585	-18.535	-18.481	-18.799	-18.585	0.739	0.26	0.196	1.699	0.133	1.158	1.467
AT2023adyh	Unclassified	1.41	1035292	-	0.0	-	-	-	0.497	-	28.517	0.513	28.341	0.329	27.32	0.21	27.528	0.081	27.373	0.094	27.407	0.147	27.43	0.123	-15.607	-15.783	-16.804	-16.596	-16.751	-16.717	-16.694	-15.783	-16.751	0.0	0.497	0.341	2.951	0.132	1.145	2.577
