Transient	Type	z	N_id	F090W	F115W	F150W	F200W	F277W	F356W	F444W	F090W_AB	F090W_ABerr	F115W_AB	F115W_ABerr	F150W_AB	F150W_ABerr	F200W_AB	F200W_ABerr	F277W_AB	F277W_ABerr	F356W_AB	F356W_ABerr	F444W_AB	F444W_ABerr	F090W_M	F115W_M	F150W_M	F200W_M	F277W_M	F356W_M	F444W_M	M_blue	M_IR	blue	ir	offset_arc	offset_kpc	r50_arc	r50_kpc	R_norm
AT2023jyb	Unclassified	0.5945	1032157.0	0.466	0.528	N/A	N/A	N/A	0.512	N/A	22.096	0.009	21.773	0.008	21.589	0.006	21.432	0.003	21.265	0.003	21.614	0.003	21.935	0.004	-20.176	-20.5	-20.684	-20.84	-21.007	-20.659	-20.338	-20.176	-21.007	0.466	0.512	0.292	2.0	0.316	2.164	0.924
AT2023jyc	II	1.69	1024480.0	0.0	0.0	N/A	N/A	N/A	0.136	N/A	24.992	0.04	23.962	0.015	23.518	0.017	23.163	0.013	22.943	0.007	22.78	0.005	22.624	0.005	-19.497	-20.526	-20.971	-21.325	-21.546	-21.708	-21.864	-20.971	-21.546	0.0	0.136	1.111	9.645	0.194	1.681	5.738
AT2023jyd	II	2.8	1027468.0	0.852	0.908	N/A	N/A	N/A	0.952	N/A	25.611	0.1	25.249	0.051	24.697	0.034	24.783	0.038	24.905	0.02	24.899	0.02	24.863	0.032	-19.836	-20.198	-20.75	-20.663	-20.542	-20.547	-20.584	-20.663	-20.547	0.908	0.952	0.419	3.514			
AT2023jyf	Unclassified	2.04	1081256.0	0.0	0.0	N/A	N/A	N/A	0.024	N/A	25.706	0.017	25.123	0.012	24.71	0.011	24.759	0.008	24.749	0.007	24.731	0.007	24.69	0.007	-19.15	-19.733	-20.145	-20.096	-20.106	-20.125	-20.166	-20.145	-20.125	0.0	0.024	0.272	2.327			
AT2023jyg	Unclassified	1.69	1077095	0.000	0.000	N/A	N/A	N/A	0.327	N/A	28.109	0.218	27.146	0.167	27.309	0.137	27.162	0.106	27.133	0.094	27.026	0.072	26.998	0.077	-16.015	-16.978	-16.815	-16.962	-16.991	-17.098	-17.126	-16.815	-17.098	0.0	0.327	0.459	3.984	0.096	0.834	4.777
AT2023jyh	Unclassified	0.562	1079144.0	0.499	0.5	N/A	N/A	N/A	0.465	N/A	19.297	0.002	18.795	0.002	18.359	0.002	18.024	0.001	17.827	0.001	18.164	0.001	18.5	0.001	-22.85	-23.353	-23.788	-24.124	-24.321	-23.983	-23.647	-22.85	-24.321	0.499	0.465	1.128	7.533	0.817	5.455	1.381
AT2023jyj	Unclassified	1.047	1059154.0	0.723	0.466	N/A	N/A	N/A	0.808	N/A	25.961	0.066	25.572	0.029	25.352	0.026	25.296	0.023	25.31	0.026	25.374	0.019	25.537	0.028	-17.543	-17.933	-18.153	-18.209	-18.195	-18.13	-17.967	-17.933	-18.195	0.466	0.808	0.144	1.194	0.156	1.298	0.92
AT2023jyk	Unclassified	0.594	1078711.0	0.657	0.556	N/A	N/A	N/A	0.637	N/A	22.135	0.004	21.811	0.005	21.659	0.004	21.495	0.003	21.318	0.003	21.644	0.003	21.921	0.004	-20.135	-20.459	-20.612	-20.776	-20.952	-20.627	-20.35	-20.135	-20.952	0.657	0.637	0.272	1.866	0.265	1.814	1.029
AT2023jyl	Unclassified	1.355	1082642.0	0.39	0.48	N/A	N/A	N/A	0.481	N/A	22.622	0.015	22.346	0.017	22.225	0.017	22.323	0.011	22.096	0.01	22.091	0.011	22.036	0.012	-21.421	-21.697	-21.818	-21.72	-21.947	-21.952	-22.007	-21.697	-21.947	0.48	0.481	0.099	0.857			
AT2024vqb	Unclassified	3.37	1010815.0	0.663	0.618	0.693	0.729	0.660	0.659	0.632	26.884	0.075	26.895	0.037	26.713	0.038	26.037	0.014	26.282	0.029	26.278	0.013	26.132	5.553	-18.894	-18.882	-19.064	-19.74	-19.495	-19.499	-19.646	-19.74	-19.499	0.729	0.659	0.041	0.311	0.11	0.836	0.372
